total_bill,tip,size,sex,smoker,day,time,Cluster
19.77,2.0,4,Male,No,Sun,Dinner,Cluster 1
29.85,5.14,5,Female,No,Sun,Dinner,Cluster 1
48.17,5.0,6,Male,No,Sun,Dinner,Cluster 1
25.0,3.75,4,Female,No,Sun,Dinner,Cluster 1
13.39,2.61,2,Female,No,Sun,Dinner,Cluster 1
16.49,2.0,4,Male,No,Sun,Dinner,Cluster 1
21.5,3.5,4,Male,No,Sun,Dinner,Cluster 1
12.66,2.5,2,Male,No,Sun,Dinner,Cluster 1
16.21,2.0,3,Female,No,Sun,Dinner,Cluster 1
13.81,2.0,2,Male,No,Sun,Dinner,Cluster 1
17.51,3.0,2,Female,Yes,Sun,Dinner,Cluster 1
24.52,3.48,3,Male,No,Sun,Dinner,Cluster 1
20.76,2.24,2,Male,No,Sun,Dinner,Cluster 1
31.71,4.5,4,Male,No,Sun,Dinner,Cluster 1
10.59,1.61,2,Female,Yes,Sat,Dinner,Cluster 3
10.63,2.0,2,Female,Yes,Sat,Dinner,Cluster 3
50.81,10.0,3,Male,Yes,Sat,Dinner,Cluster 2
15.81,3.16,2,Male,Yes,Sat,Dinner,Cluster 3
7.25,5.15,2,Male,Yes,Sun,Dinner,Cluster 1
31.85,3.18,2,Male,Yes,Sun,Dinner,Cluster 1
16.82,4.0,2,Male,Yes,Sun,Dinner,Cluster 1
32.9,3.11,2,Male,Yes,Sun,Dinner,Cluster 1
17.89,2.0,2,Male,Yes,Sun,Dinner,Cluster 1
14.48,2.0,2,Male,Yes,Sun,Dinner,Cluster 1
9.6,4.0,2,Female,Yes,Sun,Dinner,Cluster 1
34.63,3.55,2,Male,Yes,Sun,Dinner,Cluster 1
34.65,3.68,4,Male,Yes,Sun,Dinner,Cluster 1
23.33,5.65,2,Male,Yes,Sun,Dinner,Cluster 1
45.35,3.5,3,Male,Yes,Sun,Dinner,Cluster 1
23.17,6.5,4,Male,Yes,Sun,Dinner,Cluster 1
40.55,3.0,2,Male,Yes,Sun,Dinner,Cluster 1
20.69,5.0,5,Male,No,Sun,Dinner,Cluster 1
20.9,3.5,3,Female,Yes,Sun,Dinner,Cluster 1
30.46,2.0,5,Male,Yes,Sun,Dinner,Cluster 1
18.15,3.5,3,Female,Yes,Sun,Dinner,Cluster 1
23.1,4.0,3,Male,Yes,Sun,Dinner,Cluster 1
15.69,1.5,2,Male,Yes,Sun,Dinner,Cluster 1
19.81,4.19,2,Female,Yes,Thur,Lunch,Cluster 4
28.44,2.56,2,Male,Yes,Thur,Lunch,Cluster 4
15.48,2.02,2,Male,Yes,Thur,Lunch,Cluster 4
16.58,4.0,2,Male,Yes,Thur,Lunch,Cluster 4
7.56,1.44,2,Male,No,Thur,Lunch,Cluster 4
10.34,2.0,2,Male,Yes,Thur,Lunch,Cluster 4
43.11,5.0,4,Female,Yes,Thur,Lunch,Cluster 4
13.0,2.0,2,Female,Yes,Thur,Lunch,Cluster 4
13.51,2.0,2,Male,Yes,Thur,Lunch,Cluster 4
18.71,4.0,3,Male,Yes,Thur,Lunch,Cluster 4
12.74,2.01,2,Female,Yes,Thur,Lunch,Cluster 4
13.0,2.0,2,Female,Yes,Thur,Lunch,Cluster 4
16.4,2.5,2,Female,Yes,Thur,Lunch,Cluster 4
20.53,4.0,4,Male,Yes,Thur,Lunch,Cluster 4
16.47,3.23,3,Female,Yes,Thur,Lunch,Cluster 4
26.59,3.41,3,Male,Yes,Sat,Dinner,Cluster 3
38.73,3.0,4,Male,Yes,Sat,Dinner,Cluster 3
24.27,2.03,2,Male,Yes,Sat,Dinner,Cluster 3
12.76,2.23,2,Female,Yes,Sat,Dinner,Cluster 3
30.06,2.0,3,Male,Yes,Sat,Dinner,Cluster 3
25.89,5.16,4,Male,Yes,Sat,Dinner,Cluster 3
48.33,9.0,4,Male,No,Sat,Dinner,Cluster 2
13.27,2.5,2,Female,Yes,Sat,Dinner,Cluster 3
28.17,6.5,3,Female,Yes,Sat,Dinner,Cluster 3
12.9,1.1,2,Female,Yes,Sat,Dinner,Cluster 3
28.15,3.0,5,Male,Yes,Sat,Dinner,Cluster 3
11.59,1.5,2,Male,Yes,Sat,Dinner,Cluster 3
7.74,1.44,2,Male,Yes,Sat,Dinner,Cluster 3
30.14,3.09,4,Female,Yes,Sat,Dinner,Cluster 3
12.16,2.2,2,Male,Yes,Fri,Lunch,Cluster 0
13.42,3.48,2,Female,Yes,Fri,Lunch,Cluster 0
8.58,1.92,1,Male,Yes,Fri,Lunch,Cluster 0
15.98,3.0,3,Female,No,Fri,Lunch,Cluster 0
13.42,1.58,2,Male,Yes,Fri,Lunch,Cluster 0
16.27,2.5,2,Female,Yes,Fri,Lunch,Cluster 0
10.09,2.0,2,Female,Yes,Fri,Lunch,Cluster 0
20.45,3.0,4,Male,No,Sat,Dinner,Cluster 2
13.28,2.72,2,Male,No,Sat,Dinner,Cluster 2
22.12,2.88,2,Female,Yes,Sat,Dinner,Cluster 3
24.01,2.0,4,Male,Yes,Sat,Dinner,Cluster 3
15.69,3.0,3,Male,Yes,Sat,Dinner,Cluster 3
11.61,3.39,2,Male,No,Sat,Dinner,Cluster 2
10.77,1.47,2,Male,No,Sat,Dinner,Cluster 2
15.53,3.0,2,Male,Yes,Sat,Dinner,Cluster 3
10.07,1.25,2,Male,No,Sat,Dinner,Cluster 2
12.6,1.0,2,Male,Yes,Sat,Dinner,Cluster 3
32.83,1.17,2,Male,Yes,Sat,Dinner,Cluster 3
35.83,4.67,3,Female,No,Sat,Dinner,Cluster 2
29.03,5.92,3,Male,No,Sat,Dinner,Cluster 2
27.18,2.0,2,Female,Yes,Sat,Dinner,Cluster 3
22.67,2.0,2,Male,Yes,Sat,Dinner,Cluster 3
17.82,1.75,2,Male,No,Sat,Dinner,Cluster 2
18.78,3.0,2,Female,No,Thur,Dinner,Cluster 4
