f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,Anomaly,Anomaly_Score
-1.036668,-0.44599307,2.133875,-2.9074368,0.08836802,1.5372833,-0.0596665,-0.37168035,-5.241215,0.2708421,0.61161613,1.3570442,0.6797502,1.5592647,-1.1148025,-1.404653,-0.46065313,0.41781566,0.6391083,3.0291302,0,-0.0226908006821262
2.2731647,0.3568978,2.8830185,-1.8129537,0.037530515,-0.024991864,0.1652984,-0.2483066,1.7632781,0.61027014,1.170663,5.9885683,-0.2218304,-3.9532206,-0.11270554,-0.7178829,0.82346725,-1.0046269,1.2054853,2.3827572,0,-0.06253306003298453
-1.6307678,-0.73758245,-0.2745079,1.529998,-0.42425686,0.39344305,0.08208825,0.80764055,-1.6518375,1.499514,-0.5117807,-0.6552897,-0.483924,0.10692513,0.36807394,1.150802,-0.44554424,-1.787553,-1.0103339,0.41669944,0,-0.04205744951365448
2.1942303,-0.6537563,2.144401,-0.53578526,0.031924516,-0.92694974,-0.53573847,-2.2524104,0.727719,-0.28423,2.6407773,4.3474126,-2.4019597,-2.48399,-0.13474166,1.6828505,-0.40730008,-0.065028295,0.14098842,1.6116285,0,-0.024652748443446282
2.1537774,-0.7481295,2.3267908,1.0508386,2.671886,1.1780683,-0.9449287,-0.887691,-2.4027877,0.50465345,2.2221062,4.4314895,-0.3325791,0.02654274,-0.27913943,-0.45999074,0.19759539,0.74861705,0.64514863,3.6838567,0,-0.06143591069968507
1.0171016,0.09345508,1.4084401,0.036275376,1.1866652,-0.1795332,-0.22959904,1.0477802,1.2067798,0.0603729,0.41676244,2.890963,0.461715,-2.2264848,0.5218263,0.70326656,-0.13133267,1.1577832,-1.0250256,0.95068353,0,-0.10926890605215323
0.12582347,0.0923451,1.0581481,-0.64882493,1.2509176,-2.4798706,0.46475047,0.92614,-1.0247241,-0.6128041,-0.27622885,-0.20085527,1.1557524,1.1919814,0.7053235,-0.749278,0.49790385,1.2971091,-1.6866516,0.23310749,0,-0.03982305385286594
2.280418,0.73815215,1.9849343,-0.28240588,0.37340006,1.5925937,1.5476307,0.60050553,-0.0056931204,1.3826594,1.6026098,3.5227342,0.83024627,-0.75411034,-1.3244352,-2.2309694,-0.5267413,1.270416,0.3321878,1.885702,0,-0.062127919880951066
2.1521163,1.2671465,2.472087,-0.14028133,2.4069657,0.9188007,-0.27708027,1.6320179,2.2462626,-0.3216219,0.41856328,3.8744338,-0.53181183,-2.5152836,-0.7748389,-0.97140664,-0.12268286,-0.055859867,-2.1556423,0.91176856,0,-0.05045255085498357
1.5015168,-1.3339589,0.618341,-2.4318123,-2.0464232,0.3579358,0.13461937,-1.2462108,1.489785,-0.6848202,2.086304,1.0998317,-1.9757798,-1.0929776,0.19427395,-0.80054873,0.18746832,-0.6293256,1.4014318,-0.65786284,0,-0.048484803007003086
-1.1631573,0.32728535,-0.3722111,0.59227186,0.30394146,-0.1157953,1.4860508,-1.0598114,1.3029875,0.5527674,0.6111358,-1.0360321,-0.7429851,-1.8028381,0.5783881,-1.0193933,-0.28200275,0.43246448,0.63281816,-1.9131777,0,-0.04584788655508221
2.944232,-0.46399173,0.054626502,0.14345786,-0.08600093,1.842911,-0.79760706,-1.2788053,3.9825068,-0.22253288,2.7749836,3.2876067,1.5495543,-3.334265,-0.38181403,-0.30280724,-0.03721386,0.44582158,-0.15581463,-0.29133713,0,-0.06676932175159567
1.3212832,-2.5924122,1.6289082,0.78269595,-0.34314954,-0.12855913,-2.4442532,0.6942773,0.34026378,0.74503624,0.42548338,3.1701984,-0.12855858,-1.4148209,0.9360009,0.84103364,0.60671854,-0.5976301,-0.48023942,1.6860933,0,-0.06259077933002993
2.142101,-0.85399157,1.439495,0.9102642,0.8386327,0.39046472,2.725676,-1.5386835,3.3544972,0.7310024,-2.1796455,4.4391155,0.8091157,-2.8215451,0.80966777,0.98886776,0.74371696,0.51469505,1.893106,1.8376442,0,-0.019730874217643024
0.45014665,-0.28817424,1.3749034,-1.5695454,-1.6668234,1.01559,0.6765363,0.6099004,-0.4887116,-1.9467627,-1.457116,1.9110686,-2.089944,-0.06538323,0.2731133,-0.33852056,1.393338,0.97143227,0.4169187,1.7754747,0,-0.028478388794389575
1.2027003,-0.80391926,-0.6768524,0.3727507,1.1605098,0.6457773,0.3817894,-0.6863402,0.7630064,-0.21337368,2.2200806,1.1514716,-1.1001741,-0.92894137,-0.5103753,-1.9541166,-0.018490849,0.2438471,-0.36817715,0.18153788,0,-0.0769691379482002
1.1264588,-0.3776228,0.8252086,0.7991015,-0.5593495,-0.30440095,0.83565724,-1.2976255,-2.781702,-0.5045956,2.2442849,2.1163838,-1.369202,0.96975696,-0.69552016,1.2870681,0.4306701,-0.6348391,0.784774,2.5231931,0,-0.07529692528054394
-1.0010272,-1.2770152,0.042915903,-0.7801242,0.60477173,-1.2984408,0.76379645,-1.6650645,-3.5490296,1.1720345,0.40813935,-0.7681712,0.27735755,2.069592,1.2633758,0.76477665,0.14409952,0.10724419,1.0555086,1.2620747,0,-0.029078869940513286
2.091171,0.21036229,1.3938258,-0.25320986,0.6133768,0.089073375,-0.21756725,-0.7018445,-1.7199802,1.2496303,3.2966619,2.8857214,0.66270125,0.24182907,1.6082832,-2.3252325,-1.6615527,-2.0559723,0.30129707,2.1121287,0,-0.04242269138549498
0.9428227,-0.09608239,1.2332745,0.781718,0.24865793,2.6917946,1.338069,2.0259635,-1.6125509,2.3464494,1.2992204,3.016191,0.6581777,-0.52302736,-1.8064396,1.0570422,-1.2345841,0.94226843,-1.1066353,2.5587933,0,-0.033539303690001576
-0.8182098,-0.12115805,2.2466083,-0.36200052,-0.3792459,-1.6892409,-1.1640049,-0.25312158,-2.069336,0.48561257,-2.1549199,1.6714716,0.46639776,0.12559684,1.2456183,-0.86936826,0.027822886,0.94886523,-0.97902215,2.1860142,0,-0.06097167673248716
3.5119295,1.2321076,0.57520217,0.98726565,-0.68925047,0.47912043,-0.5823469,0.8258993,3.5153823,0.7062431,2.2587197,3.1347296,-0.86292607,-1.9950492,0.8109197,1.178127,-1.4523151,0.1688302,-0.7263209,0.00887005,0,-0.06675406345536822
3.2383347,0.9432079,3.7674854,0.95583165,2.3349245,-0.7941958,0.79486877,-0.23828936,1.2606137,-0.742794,-0.62758577,7.642299,-0.42728183,-3.0573444,0.31756127,-0.81370515,0.42864716,-0.25154996,-0.074908316,4.394377,0,-0.014294889003417965
-0.8151781,-0.62437946,1.2997308,0.26536375,-0.5525378,0.63101697,2.0180426,0.097986706,-2.6067715,-1.1576896,1.6020836,1.6045266,-0.35229787,-0.8106499,0.4813001,-0.96019256,-0.069231465,0.4077715,-1.0792422,1.6007327,0,-0.0749936564464937
2.293242,-1.7538854,2.7307448,0.32428363,-0.098671935,-0.22344728,0.11587674,0.8414324,-1.9491906,0.23001674,1.9262407,4.72845,-0.43407387,-0.29785413,0.13043956,-0.6518187,0.3648512,0.31546155,-0.30366427,3.6007383,0,-0.08406773649625021
0.14793193,0.9979981,-0.9124629,-0.97591275,1.9433924,-1.2283483,-0.6909,1.2353679,1.9195756,0.93617195,-0.4496893,-1.0365858,-0.371281,-0.32900152,1.164992,1.3092418,1.8108411,1.0789512,1.3033293,-1.4373167,0,-0.0049461110000881825
-0.46377867,-0.57825935,1.3589845,0.48434076,-1.0305618,0.99082553,0.44396213,0.85006726,-1.7918224,0.7774062,0.7182274,1.787225,0.16326092,-0.84698975,0.0075718053,-1.7075344,1.1673244,0.3761487,0.58757186,1.5758042,0,-0.08825017049803024
2.1494598,-1.0366004,0.77394813,2.390829,1.4243246,0.369932,0.82152814,-0.92893505,-0.13890238,-0.18525797,4.025267,1.9517323,-0.28551233,-0.46557122,0.92115146,0.5509769,0.013357262,1.6296195,-0.014430389,0.4522508,0,-0.03902032684145024
1.0140224,0.69057155,-0.18055551,-0.73566616,0.54385585,-1.7228668,-0.41714215,1.0513916,0.8493383,1.4883274,0.40290722,0.91992027,0.33565962,-0.35247195,0.5803054,0.42976585,0.6374546,-1.0821395,0.39844605,0.32176125,0,-0.08226425143940758
-0.32056803,-0.6117371,-0.059457295,-1.3130953,0.38236365,-0.9121985,0.103884965,-1.0936202,-0.8128956,0.5695139,-0.045039155,0.3418527,0.09795875,0.014816543,0.8050762,0.4238004,1.394191,1.9034716,0.3293741,0.71107984,0,-0.06920877345310572
2.5780892,0.15506956,2.2950943,-0.2757937,-0.12309335,-0.22724503,0.3517475,1.7731996,-0.70718414,0.17952335,2.0762455,4.614578,1.3146514,-0.8995371,-0.24935016,0.40485522,1.0556502,1.8005729,-1.0755156,2.9225602,0,-0.06196047349240025
1.2915835,-0.85600847,0.97602415,0.19674125,0.53595537,-0.2509478,1.1627105,-0.21828099,-1.6653032,-0.82290155,3.0159743,1.2488264,0.34371528,0.66539556,-1.6120096,1.3979189,0.12160681,1.3127284,-0.51217896,0.9363708,0,-0.06265036979006011
2.254098,0.4381971,3.9160333,0.7333901,0.09290962,-0.77964485,-0.15157412,-0.90129787,-1.402068,-0.19644763,0.8831681,6.251335,0.84112597,-1.6029385,0.101646796,-1.474136,1.0659384,0.859527,1.30432,4.2630267,0,-0.035933820003406
0.6505263,-0.5456151,-1.456791,-0.053856842,-1.6042317,0.6844737,-0.35675824,-0.7626356,3.5236337,-0.31594086,0.17230909,0.25274006,0.59232473,-2.2417088,-0.57803565,-0.17392081,0.62842315,0.47856855,-0.16204046,-1.3848405,0,-0.07945146353692822
-0.52730465,-0.7673009,2.2663329,-0.48342052,0.26071176,1.1924056,-1.9129435,0.43537784,-5.369913,2.0148706,0.01981268,1.4505031,0.7309214,2.408592,0.2167124,1.4707842,-0.04920771,0.86351925,-0.6253402,3.446287,0,-0.0104282532256888
-0.90829885,0.023885135,0.6804381,-2.4931881,0.14980693,-0.84235877,-0.5158809,-0.25073338,-1.2653315,0.7784078,-0.7351278,0.9885211,-0.8973913,-0.5810863,1.2621542,0.6448486,-0.3373402,0.33291087,0.12422443,1.2729098,0,-0.08250095230471655
-1.1735045,-0.9334248,-0.36728388,1.3634248,-0.8416836,0.023380522,-0.4681358,0.17210512,-1.2829604,0.1736074,1.2610259,-0.6660032,-0.04569115,-0.3162647,0.21447758,-0.25532562,0.5303708,0.3859986,-0.034834567,-0.24722469,0,-0.08751806821904534
0.40352672,-0.82497984,-0.22475082,0.13117163,-0.0784921,0.648228,-0.30059057,0.43552718,-3.2500174,-0.3754678,2.0080762,-1.1462165,0.12851264,3.1728175,0.47672528,-0.24392472,0.40379232,2.1737134,-0.21133816,0.72842973,0,-0.035978697389361936
1.1808546,0.44566095,-1.4671896,-1.7935511,0.7105417,0.37155592,1.2309326,-0.23277238,0.97280157,1.1985852,2.5670283,-0.8385299,-0.27135503,0.33163103,0.7486809,-0.6232197,-0.20152935,2.1663885,-0.86450195,-1.2231902,0,-0.021508622949822198
2.6337667,-0.74461436,-0.5343304,0.59466493,0.9362136,0.6933337,0.4449684,0.3750397,3.1885757,0.56952524,3.091148,2.6806595,0.7564081,-2.7015522,0.6848715,-0.7856543,0.60228705,0.52320933,0.7484798,-0.20270576,0,-0.07830233768961875
0.32925525,-0.33236405,1.5650017,-0.11673247,0.8417485,0.114509635,-0.09791496,-0.9418309,0.47190458,-1.8767611,-0.429184,2.591529,0.25774434,-1.8986448,0.91633165,0.81540424,0.6874775,-0.00011237298,0.9247197,1.239049,0,-0.08448045285848099
1.3198482,0.11730933,2.5000772,-1.200312,0.12988563,0.7179296,-0.34409273,-0.49048588,0.08292924,0.53058517,1.1502761,3.7778184,-0.16969757,-1.9917445,1.7455642,0.6889426,-2.1723118,-1.1726916,2.0917535,1.7386833,0,-0.03761621136483656
1.4998554,-2.0754044,1.1597104,2.137431,1.8069135,-0.5742235,-0.722395,1.6287422,1.1129334,0.17799336,0.43390572,2.8828723,-0.17754172,-1.5796776,-0.4924831,-0.24306399,-0.972432,-0.36028704,-1.0547781,1.2064886,0,-0.07219068038507709
0.40292895,-0.83757895,2.511981,1.0989525,0.017420158,-0.7397924,1.4113331,0.116604686,-1.7183864,1.2477951,-0.8224904,3.869017,0.64108974,-0.9630891,-1.4191153,0.39353353,-1.7534828,1.6569018,1.186143,3.3340979,0,-0.03570448729744369
1.4983884,-1.1668667,0.17080559,-0.31696725,0.08271093,-0.7589957,0.20105742,-0.28719735,1.5294927,1.3011129,3.6534646,2.1350975,0.31483638,-2.5310576,-0.52202517,0.54023963,0.328257,-1.2285441,0.81570673,-0.27894086,0,-0.07269788751640993
0.5679558,-1.5240219,2.323448,-0.15404515,-1.7141987,1.3470737,0.8750707,1.1246355,-2.6002162,-0.036845896,0.85219926,3.3360515,1.4034483,-0.29251945,-1.2501,-0.039662734,0.9421938,-0.14446351,-1.4959793,3.0657845,0,-0.03640026618741132
-0.17586233,0.43532914,-0.62684554,-1.1904248,0.42286035,-1.3797387,0.3376021,1.4684126,0.3150757,-0.12900643,0.06439554,-1.0297668,-0.60875636,0.3461556,0.55047345,0.28913057,0.15635929,0.450171,0.83547544,-0.78074664,0,-0.062339728938878514
-2.5265725,0.69817007,0.32357165,-0.3023664,-0.27520517,-0.3962707,-0.8538797,1.110839,-2.233723,1.2770113,-2.4590292,-0.56343424,1.4002954,0.17338558,1.0683845,0.6923436,-0.23564084,0.9201047,-0.26270637,1.0384439,0,-0.025935110084642166
2.645753,-1.4171854,2.657205,-1.3303952,-0.79827476,1.0909791,1.2627277,1.2384263,-2.585326,1.5869521,2.9444444,4.6305532,-1.401173,0.30582786,-0.71002424,-0.17287752,1.8002286,-0.6891835,0.70076734,3.711171,0,-0.0010478629075002521
-1.2780535,-1.1645288,1.1752989,-1.0712988,0.516343,0.047607165,1.3794609,0.95735747,-4.255017,0.7021116,-0.6618091,0.7522594,2.180815,1.4869539,-0.42059153,0.09025389,-0.73641,0.5389603,0.85229343,2.672815,0,-0.03348072234784949
3.0792673,0.36178458,1.8611672,0.22071943,0.87141967,0.015877178,0.3727926,-0.07426296,-0.069547445,-0.9926127,1.8382403,3.7889323,0.06950681,-0.062592015,1.3052397,1.3397795,1.6666917,-0.40527463,-0.5550696,2.2839541,0,-0.060090603730554304
-0.2432924,1.1819541,0.71684873,0.61205447,-0.3185485,0.4660873,-0.8201481,0.58181876,-0.21763614,0.0021302726,-0.4658451,1.7882107,0.569279,-1.3594538,-0.36798498,-0.42281836,1.8185779,-0.2623967,-0.51777637,1.2628691,0,-0.09196356481513851
-1.432116,0.013689047,0.1863243,-1.4087778,-0.86138576,-0.12800425,0.9685198,-0.05385599,-2.564397,0.35241792,-0.6913576,0.20047273,1.1583987,0.4438528,-0.01991783,-0.47266665,0.3790138,-0.62963593,-0.6615643,1.5465124,0,-0.0665414282129062
0.5301734,0.50463337,0.527498,0.63302237,-1.0995299,-1.0346637,-1.770254,0.19224188,-0.6070073,-1.3442864,2.0836673,1.6787786,1.0623196,-1.0314406,-0.52629435,0.4462007,-2.0113986,0.39129952,2.069344,0.8622203,0,-0.04639878085116522
3.1264334,-0.25668013,-0.31725264,-1.2902571,-0.50540155,0.3053539,0.05323066,1.5846059,2.2589645,-0.8476004,3.1773362,1.8436594,-0.13779221,-0.7711672,-1.0479321,-1.2599168,-1.1619055,0.9271871,0.7615454,-0.21337493,0,-0.05745960669878997
1.7625371,0.015948657,1.1794435,-0.6631324,0.29888377,-0.35683054,1.10005,1.3396134,-0.79760367,-0.5658609,1.2129118,1.8072857,1.5345253,0.781179,-0.5347679,-0.62044954,1.3013899,0.08774678,-1.033956,1.4251118,0,-0.08232127793914823
1.6546422,-0.0054566218,0.75780517,-0.16390291,0.11427266,-0.19246401,1.0408916,0.8138856,-0.014608653,-0.2077956,2.547369,1.0992624,0.81897783,0.09290934,0.42553678,2.5896463,-0.048744097,-1.3184346,0.8215502,0.11841776,0,-0.06655294494083341
1.8467481,-0.6428194,1.8345755,-0.6809178,-0.9113173,1.7923213,-0.14342003,-1.9745418,1.3674088,1.627386,-0.19976208,4.0267396,-0.19021542,-2.0468,-0.6181175,1.405699,-0.5019135,-1.7609802,0.7401173,1.923548,0,-0.06260812335988986
0.43799573,-1.1364026,0.87457776,-0.20602237,1.2517217,-0.36359414,-0.63406473,-0.7425295,0.07190483,0.083906524,0.6357145,2.0507574,0.06448407,-1.4210427,0.21268326,0.3513275,1.0318147,0.5408319,-0.5266725,1.0282304,0,-0.10625977309484441
3.2335153,0.057389516,1.972042,-0.5646851,-0.5076517,0.5037573,-0.08373055,0.0005059017,1.8772272,0.5554115,1.6778145,5.3871503,-1.2713718,-2.6140938,0.9026207,0.5537517,0.7465417,-0.23347092,-0.54629934,2.277358,0,-0.07216372603915971
0.56534517,1.1689979,0.24179159,-0.49964216,0.18106611,0.113610476,-0.017645627,-0.1277303,-1.2903581,-0.002725902,5.3707104,1.3924693,-1.1572684,-1.4794238,1.2360402,-0.8373561,0.12777784,-0.64309037,-0.7344291,0.13096097,0,-0.06729750781988547
4.7065296,-0.5948058,0.8924081,-0.10577695,-1.488863,1.5765227,-0.32790485,-0.93285835,1.8310535,-0.5985614,5.989276,4.4248123,1.3275287,-1.7178432,-0.11981064,1.347316,1.0406896,-0.91173434,-0.8486986,0.9692465,0,-0.03239038639348418
2.876047,1.453796,1.9417616,0.19813561,-0.14842887,-1.5820326,-0.40038612,0.9659396,1.7772825,-0.6862504,2.7930036,4.719652,-0.09492024,-2.8570297,1.8825953,1.8953676,-0.63450307,0.6257765,-0.73474586,1.4188839,0,-0.031841348746115605
1.390754,0.9257446,1.0765669,-0.28346205,1.1875055,-0.5181358,0.50869006,0.8565701,-0.011192973,3.556458,0.37954846,2.5069356,-0.29098675,-0.5029021,0.89830554,0.29944602,0.5748279,1.4236655,0.95926744,1.6556735,0,-0.08712947181130265
1.8108265,-0.1358549,1.2796215,0.25036177,-0.52305627,0.20092651,0.12456212,0.7143781,-2.2325156,-0.36359432,4.285746,2.6560292,-1.3785815,0.12113152,2.2169313,-0.420806,0.44775924,-0.34851748,-0.37313187,1.9178222,0,-0.049397957711007245
3.1862016,-1.8411118,2.4746194,0.85285646,1.2607254,-0.60571694,-0.48732054,-0.33469498,0.58136034,-0.45265913,2.3039384,4.230272,1.1094662,-0.9917003,1.5274092,0.538174,-0.31032544,-0.07645955,0.83322453,1.8530332,0,-0.05376088603339707
1.1962979,0.8756049,0.7217132,0.8866387,-1.1998062,0.4898951,0.9123866,-1.7850695,-0.0011155996,0.4343625,1.8726302,2.028722,1.2704333,-0.92654496,0.6353645,-0.3442016,1.3938584,-0.007815917,0.8423977,0.9006259,0,-0.08511723848501535
-0.68812525,0.31760964,1.7693125,0.13630903,1.9071034,-0.8522662,-0.42993203,0.47087744,-2.2539747,-0.6851984,-1.0332414,1.8279226,0.083277866,-0.116884194,0.41985655,0.40601933,1.3456057,0.60392123,0.9566253,2.2559955,0,-0.07872099323093518
-1.0262624,-0.86554503,0.5260571,0.109869875,-0.24185072,-0.2304365,-1.8295444,0.17817678,-2.3160858,0.21402502,1.3072492,1.5973197,-1.7634676,-1.148785,-0.37355548,-1.2309542,1.0941309,0.7031123,0.6735991,1.7356585,0,-0.06562707539676021
0.10170071,1.0477215,1.1063449,0.6168231,-1.4101437,0.27756086,1.211617,0.68402064,-3.1049988,0.50581974,1.3075124,1.6976644,-0.2011408,0.7030322,-0.27309343,0.38714665,-0.029881306,-0.04360184,0.5278151,2.3699079,0,-0.08703461244432198
0.8982083,-0.5682029,1.6297677,-0.24807838,1.5724338,-0.7119726,-1.0489626,-0.04463371,-0.8450672,-0.72108,1.8252406,1.3647525,-0.28562567,-0.09446056,-0.52450544,-0.17044085,1.5066468,0.07860648,-1.7253448,0.56113166,0,-0.07475599423130636
0.12167387,0.78080755,-0.13085338,-0.18734728,2.0554156,-0.817006,-1.473912,1.8030125,1.2880156,1.7652696,0.7482465,1.2483464,-0.4830709,-2.1375093,-1.107706,0.63897437,-1.3861964,0.52968913,-0.7979216,-0.06372192,0,-0.03486566149418652
0.50951874,-0.37941948,2.5780237,-0.27073172,-0.5622812,1.3834476,1.1852634,0.25064468,-0.06233909,-1.0410147,-0.8182784,5.0016737,0.70176524,-3.0373313,0.35335606,1.6032062,-0.6112781,0.233805,-0.16068172,3.1228786,0,-0.06250570677347
-0.81360495,-0.06021388,0.18868662,-0.028760375,1.3374263,-1.340004,-0.018306624,1.8271568,-0.19919196,-0.0868038,-0.18001948,1.2196983,0.015077039,-1.6923836,0.35620058,0.09730575,-0.274763,2.0860052,0.34409443,0.7965999,0,-0.05969179707747879
-0.2455933,0.50197726,0.43227774,0.9707484,1.4296796,-0.64214396,-1.5044447,-0.9741258,-1.7706205,-1.2062888,0.87689424,0.4888304,-0.85705745,0.37611338,0.54473054,-0.57448214,0.67487335,-0.14448522,-0.14761919,0.9585194,0,-0.07884739614844
0.95386416,-0.34741354,1.6585672,-0.048503738,0.77598757,-0.61920834,-0.7195595,-1.037052,0.11104214,-1.4968286,-0.1630484,2.5160937,-1.1608754,-0.9262478,0.6850285,-1.1382654,-0.17728934,-1.2479773,0.63926923,1.4440709,0,-0.08278377000313486
2.2394245,1.066837,-0.18314283,0.8849385,0.23030417,-1.1033422,-0.8968078,0.3814487,0.01968405,0.6008947,2.1097467,1.7437721,-0.03283525,0.43782005,2.3762558,-1.6312056,0.042667996,0.48449886,0.71936923,1.18787,0,-0.049071157889510164
-1.3441955,1.3841411,1.5546231,-0.8805769,-1.4325752,0.33343345,-0.40307313,0.21879609,-2.4453259,-0.007135436,0.2643709,1.2736973,0.22837898,-0.792406,-1.2260472,0.6309441,-0.90617543,-0.9320496,-0.684503,1.4702024,0,-0.08620691731320818
-0.94552964,1.3528022,1.8913134,-0.5741608,-0.20984212,-0.7109033,0.8274648,0.01590762,-2.1844308,0.9485141,-0.4770514,1.5937276,1.1282334,-0.5061852,-1.4389429,1.0537354,-0.19785795,0.7588391,0.024535587,1.7560178,0,-0.0683900239350505
1.5178896,0.092159286,0.011031685,-1.1740757,0.35097197,-0.7037135,-1.3824762,0.62129194,1.3689512,-1.2084457,0.96710134,1.0390528,-1.1798686,-0.4857747,1.616467,-1.1594577,-0.1857225,-0.35001191,-1.6815326,-0.042617913,0,-0.05153308176965338
0.38605237,0.91495067,0.9803356,1.0486499,0.6565394,0.30785343,0.22077122,1.0227534,1.4136162,0.7485913,-0.51662296,1.4917983,0.026764398,-1.6613845,-2.3473957,-1.4812357,0.3609287,-0.22387475,1.3424637,0.108279705,0,-0.07225502025403763
0.42151746,0.5818813,-0.63338023,-0.57271415,0.27764133,-2.1106808,1.325096,0.86598533,2.4594967,1.8507737,-1.2869288,1.0844337,-0.570044,-1.7869492,-0.7481289,1.2853701,-1.7394929,-1.3383765,0.38838217,-0.0007522302,0,-0.019002771737569868
2.6413808,-0.5452127,-0.47498178,-0.26739252,-0.19729501,0.073965594,0.9600511,0.66296935,2.366377,0.76453596,2.583897,2.7750142,-0.44623762,-1.9255304,0.45594794,-0.12799583,1.4321388,-0.67372376,-0.79913825,0.5225541,0,-0.07537175020191117
0.37873802,-1.0674254,1.2930539,0.6509118,0.028412273,0.1754883,1.2411896,1.3476228,-2.1775439,0.9109235,1.6991086,1.16737,0.55390126,0.5587218,-0.88053405,-1.9602836,1.2666129,0.5750973,-0.8636789,1.2825352,0,-0.0589654970817966
1.2190125,-0.39931336,1.4630817,-1.8052435,0.85496974,-0.06174786,-1.0060078,-0.35351238,1.0061542,0.83046305,1.0801982,2.6305928,-0.15201579,-1.8825053,0.0022381952,-0.06290187,-0.63086444,1.0392613,0.58517134,0.7032236,0,-0.08755478376886106
1.926487,0.15862203,1.9808143,-0.056392055,1.8556356,-0.87423766,1.1075141,-2.0244696,-0.34404206,0.023553677,0.47140893,3.4057047,-2.277103,-0.3768368,0.12860903,-0.9132578,0.057289682,0.011347477,1.4144844,2.2912881,0,-0.04607971536695532
1.6948193,-0.6307495,1.8311107,-1.3576183,1.1939915,0.32989544,-0.2726751,1.6182115,-1.6804495,1.4818336,2.251581,3.7448432,-1.0096579,-0.5403711,-0.067199774,-0.042959638,0.4318855,0.42600176,0.4133697,2.7918036,0,-0.08397388670719091
1.6599985,-1.0606401,0.63702035,0.5306451,-1.7231587,-1.0973163,-0.40765768,-1.0820476,2.4880352,-1.7593058,0.19980757,3.025978,0.6583716,-2.4850938,-1.7754261,0.1596123,-1.6078621,-1.384458,2.2239308,0.75593406,0,-0.020631494015074914
-0.2118655,0.82097757,3.6420166,0.94842577,0.014667373,-0.45152602,-1.870061,-0.67171365,-6.160105,2.7985659,2.9570878,3.3742762,-0.6980017,0.7276565,0.7274622,0.06770781,-0.0006530739,-1.8957461,0.5788091,3.9663165,0,-0.0005720120840363441
